model_id,estimator,omitted_panel_id,omitted_case_id,omitted_province,omitted_city,omitted_exit_type,omitted_outcome,full_sample_elite_effect,leave_one_out_elite_effect,delta,absolute_delta,absolute_delta_relative_to_full_effect,sign_changed,matrix_rank,columns,converged,iterations,note,scaling_rule
matched_gold_historical_lpm,lpm,gold_0061,pilot_gd_001_alt_metro,Guangdong,Guangzhou,nominal_exit,0,0.06637998,0.06904481,0.00266482,0.00266482,0.04014494,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0062,pilot_js_001_alt_metro,Jiangsu,Nanjing,nominal_exit,0,0.06637998,0.06644465,0.00006466,0.00006466,0.00097411,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0064,sch_20260630_0015,Jiangsu,Xuzhou,nominal_exit,0,0.06637998,0.06549104,-0.00088894,0.00088894,0.01339169,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0067,sch_20260630_0051,Beijing,Beijing,nominal_exit,0,0.06637998,0.06707689,0.00069690,0.00069690,0.01049866,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0069,sch_20260630_0005,Hebei,Xingtai,nominal_exit,0,0.06637998,0.06558607,-0.00079391,0.00079391,0.01196008,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0070,sch_20260630_0048,Jiangsu,Changzhou,nominal_exit,0,0.06637998,0.07300594,0.00662595,0.00662595,0.09981852,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0071,sch_20260630_0046,Jiangsu,Xuzhou,nominal_exit,0,0.06637998,0.06549104,-0.00088894,0.00088894,0.01339169,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0072,sch_20260630_0014,Henan,Zhengzhou,nominal_exit,0,0.06637998,0.06562331,-0.00075667,0.00075667,0.01139914,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0075,sch_20260630_0006,Shandong,Jinan,nominal_exit,0,0.06637998,0.06669037,0.00031039,0.00031039,0.00467595,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0076,sch_20260630_0007,Jiangsu,Suzhou,nominal_exit,0,0.06637998,0.07301599,0.00663601,0.00663601,0.09997003,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0077,sch_20260630_0032,Anhui,Bozhou,nominal_exit,0,0.06637998,0.06547910,-0.00090088,0.00090088,0.01357155,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0078,sch_20260630_0057,Jiangsu,Changzhou,nominal_exit,0,0.06637998,0.07300594,0.00662595,0.00662595,0.09981852,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0079,sch_20260630_0033,Zhejiang,Shaoxing,nominal_exit,0,0.06637998,0.06831445,0.00193447,0.00193447,0.02914232,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0080,sch_20260630_0054,Hubei,Huangshi,nominal_exit,0,0.06637998,0.06555773,-0.00082226,0.00082226,0.01238713,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0083,sch_20260630_0013,Zhejiang,Jiaxing,nominal_exit,0,0.06637998,0.08249685,0.01611686,0.01611686,0.24279706,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0084,sch_20260630_0025,Guangdong,Guangzhou,nominal_exit,0,0.06637998,0.06904481,0.00266482,0.00266482,0.04014494,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0085,sch_20260630_0008,Zhejiang,Huzhou,nominal_exit,0,0.06637998,0.06784322,0.00146324,0.00146324,0.02204340,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0086,sch_20260630_0137,Jiangsu,Nantong,nominal_exit,0,0.06637998,0.06549918,-0.00088081,0.00088081,0.01326916,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0087,sch_20260630_0069,Jiangsu,Changzhou,nominal_exit,0,0.06637998,0.07300594,0.00662595,0.00662595,0.09981852,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0088,exp_20260703_0008,Shanxi,Jinzhong,nominal_exit,0,0.06637998,0.06559918,-0.00078081,0.00078081,0.01176271,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0089,exp2_20260703_0009,Jiangsu,Nanjing,nominal_exit,0,0.06637998,0.06644465,0.00006466,0.00006466,0.00097411,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0090,sch_20260630_0132,Shandong,Rizhao,nominal_exit,0,0.06637998,0.06554788,-0.00083210,0.00083210,0.01253544,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0091,sch_20260630_0175,Shandong,Qingdao,nominal_exit,0,0.06637998,0.06555062,-0.00082936,0.00082936,0.01249414,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0092,sch_20260630_0073,Jiangsu,Nantong,nominal_exit,0,0.06637998,0.06549918,-0.00088081,0.00088081,0.01326916,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0093,exp_20260703_0001,Anhui,Bengbu,nominal_exit,0,0.06637998,0.06550176,-0.00087823,0.00087823,0.01323028,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_lpm,lpm,gold_0094,exp2_20260703_0001,Henan,Xuchang,nominal_exit,0,0.06637998,0.06575271,-0.00062727,0.00062727,0.00944971,False,2,2,True,1,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0001,pilot_sn_xian_hightech,Shaanxi,Xian,nominal_exit,0,0.05554090,0.05535160,-0.00018930,0.00018930,0.00340836,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0002,pilot_gd_001,Guangdong,Guangzhou,substantive_exit,1,0.05554090,0.04843336,-0.00710755,0.00710755,0.12796957,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0003,pilot_zj_001,Zhejiang,Hangzhou,functional_transfer,1,0.05554090,0.05133534,-0.00420557,0.00420557,0.07572018,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0004,pilot_sc_001,Sichuan,Chengdu,nominal_exit,0,0.05554090,0.05551289,-0.00002801,0.00002801,0.00050436,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0005,pilot_hn_002,Hunan,Zhuzhou,nominal_exit,0,0.05554090,0.05517382,-0.00036708,0.00036708,0.00660927,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0006,pilot_zj_002,Zhejiang,Ningbo,substantive_exit,1,0.05554090,0.04928396,-0.00625694,0.00625694,0.11265463,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0007,pilot_zj_003,Zhejiang,Wenzhou,functional_transfer,1,0.05554090,0.05884918,0.00330827,0.00330827,0.05956465,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0008,pilot_js_004,Jiangsu,Xuzhou,nominal_exit,0,0.05554090,0.05516320,-0.00037770,0.00037770,0.00680041,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0009,pilot_hn_004,Hunan,Hengyang,nominal_exit,0,0.05554090,0.05520398,-0.00033692,0.00033692,0.00606621,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0010,pilot_sd_001,Shandong,Jinan,nominal_exit,0,0.05554090,0.05581154,0.00027063,0.00027063,0.00487264,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0011,pilot_js_003,Jiangsu,Yancheng,nominal_exit,0,0.05554090,0.05515418,-0.00038672,0.00038672,0.00696284,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0012,pilot_gd_003,Guangdong,Foshan,functional_transfer,1,0.05554090,0.05463449,-0.00090642,0.00090642,0.01631984,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0013,pilot_js_002,Jiangsu,Suzhou,nominal_exit,0,0.05554090,0.05952397,0.00398307,0.00398307,0.07171417,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0014,pilot_sd_002,Shandong,Qingdao,nominal_exit,0,0.05554090,0.05520240,-0.00033850,0.00033850,0.00609465,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0015,pilot_sc_003,Sichuan,Luzhou,nominal_exit,0,0.05554090,0.05518040,-0.00036050,0.00036050,0.00649073,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0016,expand_sd_jinan_chengjian,Shandong,Jinan,nominal_exit,0,0.05554090,0.05581154,0.00027063,0.00027063,0.00487264,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0017,expand_fj_fuzhou_chengtou,Fujian,Fuzhou,functional_transfer,1,0.05554090,0.04814424,-0.00739666,0.00739666,0.13317504,False,2,2,True,10,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0019,expand_zj_yuyao_chengtou,Zhejiang,Yuyao,nominal_exit,0,0.05554090,0.05682379,0.00128289,0.00128289,0.02309812,False,2,2,True,9,,full-sample standardization retained after deletion
matched_gold_historical_firth,firth_logit,gold_0020,expand_js_taizhou_jindong,Jiangsu,Taizhou,functional_transfer,1,0.05554090,0.05764559,0.00210468,0.00210468,0.03789428,False,2,2,True,10,,full-sample standardization retained after deletion
