c_addr_id,addr_name,addr_name_chn,c_admin_type,c_admin_cat_code,x_coord,y_coord,CHGIS_PT_ID,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons,first_entry_year,last_entry_year
5204,Hancheng,韓城,Xian,21,110.437637,35.465939,70319,30,30,8,30,0,1385,1634
4627,Gaoyou Zhou,高郵州,Zhou,215,119.43733215,32.790710449,768,30,30,21,29,1,1385,1625
4767,Quwo,曲沃,Xian,21,111.470024,35.641285,95426,30,29,16,28,2,1371,1647
4844,Zichuan,淄川,Xian,21,117.960956,36.635994,45167,30,29,14,29,1,1418,1637
20073,Han Army Bordered Red Banner,漢軍鑲紅旗,Baqi,9,,,,30,29,2,0,30,1673,1871
5984,Lianjiang,連江,Xian,21,119.534469,26.198015,40200,30,29,11,30,0,1371,1556
4860,De Zhou,德州,Zhou,215,116.28740692,37.451641083,86034,30,27,22,30,0,1394,1659
7568,Taixing,泰興,Xian,21,120.01616669,32.160381317,775,30,26,5,0,30,1647,1895
8217,Xingguo Zhou,興國州,Zhou,215,115.20962524,29.830129623,684,30,23,7,0,30,1649,1886
7913,Fenyi,分宜,Xian,21,114.67572021,27.816051483,815,30,21,9,0,30,1655,1904
7713,Hanshan,含山,Xian,21,118.10300446,31.720115662,1673,30,21,11,0,30,1661,1877
7933,Xingguo,興國,Xian,21,115.34276581,26.32170105,834,30,20,12,0,30,1672,1895
8755,Langzhong,閬中,Xian,21,105.96703339,31.5831604,1200,30,19,13,0,30,1655,1898
7876,Guangfeng,廣豐,Xian,21,118.19136047,28.438468933,811,30,18,12,0,30,1732,1890
8021,Juye,鉅野,Xian,21,116.08870697,35.396209717,1054,30,17,13,0,30,1685,1895
7809,Changting,長汀,Xian,21,116.34954071,25.833381653,40282,30,16,14,0,30,1654,1889
8298,You Xian,攸縣,Xian,21,113.34333038,27.004034042,719,30,14,17,0,30,1658,1895
6854,Qingzhen,清鎮,Xian,21,106.46762085,26.556049347,490,30,13,19,0,30,1709,1898
7714,Yingzhou Fu,潁州府,Fu,62,115.80901337,32.903057098,9784,30,9,22,0,30,1661,1715
7931,Ganzhou Fu,贛州府,Fu,62,114.93247986,25.847000122,9650,30,2,28,0,30,1709,1737
8815,Kuizhou Fu,夔州府,Fu,62,109.52474976,31.054706573,9709,30,1,29,0,30,1723,1723
7801,Yanping Fu,延平府,Fu,62,118.16918182,26.642173767,32131,30,0,30,0,30,,
20077,Plain Yellow Banner,正黃旗,Baqi,9,,,,29,29,2,0,29,1651,1886
4924,Pu Zhou,濮州,Zhou,215,115.50356293,35.672870636,86043,29,29,11,29,0,1406,1637
4961,Jiao Zhou,膠州,Zhou,215,120.00730133,36.30002594,1044,29,29,11,29,0,1415,1643
4935,Shouguang,壽光,Xian,21,118.73851,36.879799,85269,29,28,21,29,0,1444,1628
5499,Yichun,宜春,Xian,21,114.375885,27.794266,40969,29,24,19,27,2,1368,1631
7854,Jinxian,進賢,Xian,21,116.25907135,28.364484787,804,29,22,7,1,28,1631,1892
7822,Longxi,龍溪,Xian,21,117.65305328,24.511743546,40328,29,22,7,0,29,1640,1883
7232,Gu'an,固安,Xian,21,116.30117035,39.435630798,102,29,19,12,1,28,1643,1890
8657,Beiliu,北流,Xian,21,110.34751892,22.714183807,454,29,18,11,0,29,1748,1904
8241,Jingshan,京山,Xian,21,113.11685181,31.024814606,1760,29,16,16,0,29,1658,1894
8295,Liuyang,瀏陽,Xian,21,113.62143707,28.149572372,709,29,16,14,0,29,1724,1903
7914,Wanzai,萬載,Xian,21,114.449379,28.111526,789,29,16,13,0,29,1763,1890
5125,Neixiang,內鄉,Xian,21,111.838593,33.050232,82767,29,14,21,29,0,1412,1640
8638,Guiping,桂平,Xian,21,110.0716629,23.394571304,423,29,13,16,0,29,1742,1899
7067,Suiding,綏定,Xian,21,80.867546082,44.051719666,123347,29,3,26,0,29,,
7350,Xuanhua Fu,宣化府,Fu,62,115.05114746,40.610363007,9511,29,0,29,0,29,,
8037,Linqing Zhilizhou Zhixiadifang,臨清直隸州直轄地方,Zhixiadifang,213,115.70152283,36.846214294,9670,29,0,29,0,29,,
4389,Gu'an,固安,Xian,21,116.301171,39.435631,88207,28,28,20,28,0,1442,1589
5902,Jiangjin,江津,Xian,21,106.25296,29.281507,44666,28,28,15,28,0,1404,1643
4762,Hongtong,洪洞,Xian,21,111.682915,36.259399,95393,28,28,14,28,0,1465,1667
4393,Tong Zhou,通州,Zhou,215,116.65880585,39.905921936,103,28,28,10,28,0,1406,1643
20084,Bordered Red Banner,鑲紅旗,Baqi,9,,,,28,28,0,0,28,1652,1898
4959,Wei Xian,濰縣,Xian,21,119.106499,36.702705,85471,28,27,12,28,0,1496,1643
6417,Taihe,太和,Xian,21,100.164444,25.69783,45644,28,26,26,28,0,1412,1577
5033,Taikang,太康,Xian,21,114.856377,34.063873,82057,28,26,15,28,0,1366,1634
5476,Le'an,樂安,Xian,21,115.831779,27.426289,41004,28,26,17,28,0,1372,1634
5631,You Xian,攸縣,Xian,21,113.34333,27.004034,41766,28,24,15,28,0,1385,1622
8129,Wu'an,武安,Xian,21,114.19186401,36.697582245,527,28,22,6,0,28,1646,1895
8061,Qixia,棲霞,Xian,21,120.82707214,37.302383423,984,28,21,8,0,28,1646,1904
7861,Wuning,武寧,Xian,21,115.1013031,29.262537003,781,28,21,8,0,28,1745,1894
7932,Gan Xian,贛縣,Xian,21,114.93247986,25.847000122,841,28,20,8,0,28,1697,1898
7605,Yuhang,餘杭,Xian,21,119.9406,30.27177,40085,28,20,8,0,28,1649,1880
8134,Ji Xian,汲縣,Xian,21,114.07026672,35.410385132,539,28,19,10,0,28,1646,1892
7562,Liuhe,六合,Xian,21,118.83789825,32.348419189,40560,28,18,11,0,28,1647,1903
8794,Jiangjin,江津,Xian,21,106.25296021,29.281507492,1274,28,18,10,0,28,1694,1894
8229,Qi Zhou,蘄州,Zhou,215,115.34519958,30.062501907,673,28,18,12,0,28,1649,1886
7137,Xining,西寧,Xian,21,101.78393555,36.608856201,228,28,11,17,0,28,1718,1883
8336,Guiyang,桂陽,Xian,21,113.67971802,25.551719666,749,28,10,19,0,28,1736,1898
7653,Quzhou Fu,衢州府,Fu,62,118.86764526,28.956821442,32159,28,1,27,0,28,1833,1833
7712,Hezhou Zhilizhou Zhixiadifang,和州直隸州直轄地方,Zhixiadifang,213,118.36112213,31.714223862,9778,28,0,28,0,28,,
