GID_2,province_name,province_name_chn,prefecture_name,prefecture_name_chn,prefecture_type,area_sqkm_approx,matched_cbdb_places,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons,elite_per_1000_sqkm,jinshi_per_1000_sqkm,juren_per_1000_sqkm
CHN.16.11_1,Jiangxi,江西,Yingtan,鹰潭市,PrefectureCity,3536.659,4,139,123,76,114,25,39.302630,34.778586,21.489208
CHN.26.10_1,Sichuan,四川,Luzhou,泸州市,PrefectureCity,12240.993,12,139,81,104,62,77,11.355288,6.617110,8.496043
CHN.4.8_1,Fujian,福建,Xiamen,厦门市,PrefectureCity,1536.094,2,134,102,70,86,48,87.234245,66.402186,45.570128
CHN.4.4_1,Fujian,福建,Ningde,宁德市,PrefectureCity,13251.545,14,132,82,61,40,92,9.961103,6.187958,4.603237
CHN.12.10_1,Henan,河南,Puyang,濮阳市,PrefectureCity,4192.251,8,132,111,62,64,68,31.486664,26.477422,14.789191
CHN.26.14_1,Sichuan,四川,Neijiang]],内江市,PrefectureCity,2530.794,5,131,30,116,20,111,51.762411,11.853987,45.835418
CHN.5.13_1,Gansu,甘肅|甘肃,Wuwei,武威市,PrefectureCity,32855.767,5,128,52,80,1,127,3.895815,1.582675,2.434885
CHN.14.11_1,Hunan,湖南,Yongzhou,永州市|永州市,PrefectureCity,20178.964,14,124,80,77,55,69,6.145013,3.964525,3.815855
CHN.8.1_1,Guizhou,貴州|贵州,Anshun,安顺市,PrefectureCity,9339.030,6,123,33,91,1,122,13.170533,3.533558,9.744053
CHN.16.9_1,Jiangxi,江西,Xinyu,新余市,PrefectureCity,3202.700,4,122,102,65,91,31,38.092859,31.848128,20.295376
CHN.6.6_1,Guangdong,廣東|广东,Huizhou,惠州市,PrefectureCity,11355.653,8,121,46,98,32,89,10.655486,4.050846,8.630063
CHN.6.9_1,Guangdong,廣東|广东,Maoming,茂名市,PrefectureCity,11416.772,9,118,44,83,30,88,10.335671,3.853979,7.270006
CHN.7.10_1,Guangxi,廣西壯族自治區|广西壮族自治区,Liuzhou,柳州市,PrefectureCity,18839.382,9,116,49,83,32,84,6.157315,2.600935,4.405665
CHN.26.4_1,Sichuan,四川,Deyang,德阳市,PrefectureCity,5971.824,13,116,60,74,30,86,19.424551,10.047182,12.391524
CHN.13.13_1,Hubei,湖北,Xiangfan,襄樊市,PrefectureCity,19747.113,16,114,74,70,59,55,5.772996,3.747383,3.544822
CHN.13.11_1,Hubei,湖北,Tianmen,天门市,PrefectureCity,2644.074,2,112,63,58,29,83,42.358875,23.826867,21.935846
CHN.1.16_1,Anhui,安徽|安徽,Wuhu,芜湖市,PrefectureCity,3299.002,6,111,93,33,42,69,33.646539,28.190344,10.003025
CHN.18.9_1,Liaoning,遼寧|辽宁,Jinzhou,锦州市,PrefectureCity,9991.267,10,111,65,53,8,103,11.109702,6.505681,5.304633
CHN.25.2_1,Shanxi,山西,Datong,大同市,PrefectureCity,13962.752,13,111,59,78,38,73,7.949722,4.225528,5.586291
CHN.1.13_1,Anhui,安徽|安徽,Ma'anshan,马鞍山市,PrefectureCity,1789.053,4,107,92,46,69,38,59.808178,51.423854,25.711927
CHN.14.14_1,Hunan,湖南,Zhuzhou,株洲市|株洲市,PrefectureCity,11310.860,9,104,76,56,56,48,9.194703,6.719206,4.950994
CHN.22.9_1,Shaanxi,陝西|陕西,Yan'an,延安市,PrefectureCity,36863.297,22,104,64,63,37,67,2.821234,1.736144,1.709017
CHN.6.12_1,Guangdong,廣東|广东,Shantou,汕头市,PrefectureCity,2067.016,4,99,82,41,41,58,47.895130,39.670714,19.835357
CHN.14.5_1,Hunan,湖南,Huaihua,怀化市|懷化市,PrefectureCity,27629.828,19,93,45,64,28,65,3.365928,1.628675,2.316337
CHN.23.11_1,Shandong,山東|山东,Rizhao,日照市,PrefectureCity,5278.588,5,93,77,27,16,77,17.618348,14.587234,5.115004
CHN.5.11_1,Gansu,甘肅|甘肃,Qingyang,庆阳市,PrefectureCity,27132.778,15,90,63,50,35,55,3.317021,2.321915,1.842790
CHN.9.1_1,Hainan,海南,Haikou,海口市,PrefectureCity,2254.416,4,89,46,61,39,50,39.478073,20.404397,27.058005
CHN.13.4_1,Hubei,湖北,Huangshi,黄石市,PrefectureCity,4589.432,5,89,66,39,35,54,19.392378,14.380865,8.497784
CHN.20.4_1,NingxiaHui,寧夏回族自治區|宁夏回族自治区,Yinchuan,银川市,PrefectureCity,7214.720,7,84,35,58,8,76,11.642863,4.851193,8.039120
CHN.23.3_1,Shandong,山東|山东,Dongying,东营市,PrefectureCity,7426.053,4,81,65,30,38,43,10.907544,8.752967,4.039831
CHN.1.7_1,Anhui,安徽|安徽,Fuyang,阜阳市,PrefectureCity,10101.885,12,80,51,44,36,44,7.919314,5.048563,4.355623
CHN.7.11_1,Guangxi,廣西壯族自治區|广西壮族自治区,Nanning,南宁市,PrefectureCity,22160.663,12,80,32,56,14,66,3.610000,1.444000,2.527000
CHN.14.10_1,Hunan,湖南,Yiyang,益阳市|益陽市,PrefectureCity,12200.438,6,80,46,42,14,66,6.557142,3.770356,3.442499
CHN.6.8_1,Guangdong,廣東|广东,Jieyang,揭阳市,PrefectureCity,5236.864,5,78,60,38,35,43,14.894410,11.457239,7.256251
CHN.6.20_1,Guangdong,廣東|广东,Zhongshan,中山市,PrefectureCity,1739.190,2,77,51,32,12,65,44.273484,29.323996,18.399370
CHN.26.3_1,Sichuan,四川,Dazhou,达州市,PrefectureCity,16557.449,13,77,60,37,33,44,4.650475,3.623747,2.234644
CHN.22.1_1,Shaanxi,陝西|陕西,Ankang,安康市,PrefectureCity,23396.472,13,76,53,30,7,69,3.248353,2.265299,1.282245
CHN.26.8_1,Sichuan,四川,Leshan,乐山市,PrefectureCity,12022.207,8,75,49,41,28,47,6.238455,4.075791,3.410356
CHN.26.22_1,Sichuan,四川,Ziyang,资阳市,PrefectureCity,7948.358,8,75,55,41,26,49,9.435911,6.919668,5.158298
CHN.16.7_1,Jiangxi,江西,Pingxiang,萍乡市,PrefectureCity,3800.482,3,74,48,33,6,68,19.471214,12.629977,8.683109
