c_addr_id,addr_name,addr_name_chn,CHGIS_PT_ID,x_coord,y_coord,GID_2,province_name,province_name_chn,prefecture_name,prefecture_name_chn,prefecture_type,elite_persons,jinshi_persons,juren_persons,ming_persons,qing_persons
8689,Weiyuan,威遠,1268,104.65919495,29.524572372,CHN.26.15_1,Sichuan,四川,Neijiang,内江市,PrefectureCity,19,6,13,0,19
7659,Yanzhou Fu,嚴州府,32164,119.49885559,29.544481277,CHN.31.1_1,Zhejiang,浙江,Hangzhou,杭州市,PrefectureCity,19,1,18,0,19
7590,Xuzhou Fu,徐州府,9631,117.18768311,34.269634247,CHN.15.10_1,Jiangsu,江蘇|江苏,Xuzhou,徐州市,PrefectureCity,19,1,18,0,19
6837,Liping Fu Zhixiadifang,黎平府直轄地方,120400,109.13167572,26.229694366,CHN.8.5_1,Guizhou,貴州|贵州,QiandongnanMiaoandDong,黔东南苗族侗族自治州,AutonomousPrefecture,19,1,18,0,19
7732,Sizhou Zhilizhou Zhixiadifang,泗州直隸州直轄地方,9783,117.87887573,33.478374481,CHN.1.14_1,Anhui,安徽|安徽,Suzhou,宿州市,PrefectureCity,19,0,19,0,19
7140,Suzhou Zhilizhou,肅州直隸州,9531,98.511253357,39.744941711,CHN.5.6_1,Gansu,甘肅|甘肃,Jiuquan,酒泉市,PrefectureCity,19,0,19,0,19
4624,Yizhen,儀真,42729,119.177627,32.267544,CHN.15.12_1,Jiangsu,江蘇|江苏,Yangzhou,扬州市,PrefectureCity,18,18,7,16,2
303342,Shangqiu,商丘,,115.64607,34.44766,CHN.12.12_1,Henan,河南,Shangqiu,商丘市,Prefecture,18,18,6,18,0
4677,Taiping,太平,41309,118.123146,30.298552,CHN.1.11_1,Anhui,安徽|安徽,Huangshan,黄山市,PrefectureCity,18,18,4,18,0
4921,En Xian,恩縣,1003,116.27578735,37.151123047,CHN.23.2_1,Shandong,山東|山东,Dezhou,德州市,PrefectureCity,18,18,12,18,0
4453,Gucheng,故城,44876,116.124138,37.380794,CHN.10.5_1,Hebei,河北,Hengshui,衡水市,PrefectureCity,18,18,12,18,0
4923,Wucheng,武城,85173,115.886307,37.14809,CHN.23.2_1,Shandong,山東|山东,Dezhou,德州市,PrefectureCity,18,18,12,18,0
5535,Yongxing,永興,41701,113.114944,26.133934,CHN.14.3_1,Hunan,湖南,Chenzhou,郴州市|郴州市,PrefectureCity,18,18,10,18,0
4909,Liaocheng,聊城,45313,115.987486,36.446715,CHN.23.8_1,Shandong,山東|山东,Liaocheng,聊城市,PrefectureCity,18,18,7,18,0
4782,Wenxi,聞喜,95254,111.217209,35.357723,CHN.25.11_1,Shanxi,山西,Yuncheng,运城县,PrefectureCity,18,18,11,18,0
6159,Maoming,茂名,42379,110.853813,21.919214,CHN.6.9_1,Guangdong,廣東|广东,Maoming,茂名市,PrefectureCity,18,18,4,18,0
4940,Mengyin,蒙陰,85632,117.928375,35.713753,CHN.23.9_1,Shandong,山東|山东,Linyi,临沂市,PrefectureCity,18,18,12,17,1
7435,Pinglu,平陸,1165,111.10500336,34.808998108,CHN.25.11_1,Shanxi,山西,Yuncheng,运城县,PrefectureCity,18,17,2,0,18
