GID_2,NAME_1,NL_NAME_1,NAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,area_sqkm_approx
CHN.8.6_1,Guizhou,貴州|贵州,QiannanBuyeiandMiao,黔南布依族苗族自治州,Zìzhìzhou,AutonomousPrefecture,26073.353
CHN.8.7_1,Guizhou,貴州|贵州,QianxinanBuyeiandMiao,黔西南布依族苗族自治州,Zìzhìzhou,AutonomousPrefecture,16829.722
CHN.8.8_1,Guizhou,貴州|贵州,Tongren,铜仁地区,Dìqu,Prefecture,17960.940
CHN.8.9_1,Guizhou,貴州|贵州,Zunyi,遵义市,Dìjíshì,PrefectureCity,30811.013
CHN.9.1_1,Hainan,海南,Haikou,海口市,Dìjíshì,PrefectureCity,2254.416
CHN.9.2_1,Hainan,海南,Hainan,海南,Dìqu,Prefecture,29973.945
CHN.9.3_1,Hainan,海南,Sanya,三亚市,Dìjíshì,PrefectureCity,1892.640
CHN.10.1_1,Hebei,河北,Baoding,保定市,Dìjíshì,PrefectureCity,22264.861
CHN.10.2_1,Hebei,河北,Cangzhou,沧州市,Dìjíshì,PrefectureCity,14186.405
CHN.10.3_1,Hebei,河北,Chengde,承德市,Dìjíshì,PrefectureCity,39428.467
CHN.10.4_1,Hebei,河北,Handan,邯郸市,Dìjíshì,PrefectureCity,12059.986
CHN.10.5_1,Hebei,河北,Hengshui,衡水市,Dìjíshì,PrefectureCity,8829.742
CHN.10.6_1,Hebei,河北,Langfang,廊坊市,Dìjíshì,PrefectureCity,6392.126
CHN.10.7_1,Hebei,河北,Qinhuangdao,秦皇岛市,Dìjíshì,PrefectureCity,7776.253
CHN.10.8_1,Hebei,河北,Shijiazhuang,石家庄市,Dìjíshì,PrefectureCity,14053.035
CHN.10.9_1,Hebei,河北,Tangshan,唐山市,Dìjíshì,PrefectureCity,13304.901
CHN.10.10_1,Hebei,河北,Xingtai,邢台市,Dìjíshì,PrefectureCity,12468.215
CHN.10.11_1,Hebei,河北,Zhangjiakou,张家口市,Dìjíshì,PrefectureCity,36626.738
CHN.11.1_1,Heilongjiang,黑龙江省|黑龍江省,Daqing,大庆市,Dìjíshì,PrefectureCity,20702.666
CHN.11.2_1,Heilongjiang,黑龙江省|黑龍江省,Daxing'anling,大兴安岭地区,Dìqu,Prefecture,64831.288
CHN.11.3_1,Heilongjiang,黑龙江省|黑龍江省,Harbin,哈尔滨市,Dìjíshì,PrefectureCity,53298.157
CHN.11.4_1,Heilongjiang,黑龙江省|黑龍江省,Hegang,鹤岗市,Dìjíshì,PrefectureCity,14293.071
CHN.11.5_1,Heilongjiang,黑龙江省|黑龍江省,Heihe,黑河市,Dìjíshì,PrefectureCity,66722.226
CHN.11.6_1,Heilongjiang,黑龙江省|黑龍江省,Jiamusi,佳木斯市,Dìjíshì,PrefectureCity,31900.219
CHN.11.7_1,Heilongjiang,黑龙江省|黑龍江省,Jixi,鸡西市,Dìjíshì,PrefectureCity,25144.007
